s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
234.4773323, 89654.5360566, 43173.6405425, 1.9069791, -0.0685037, 10.0846449, -0.0280010
235.4751082, 89653.5862012, 43173.3374382, 1.8592391, -0.0273490, 10.0818741, -0.0279933
236.4728841, 89652.6268814, 43173.0599519, 1.8522598, 0.0133441, 10.0791033, -0.9537737
237.4706600, 89651.6707186, 43172.7694715, 1.8859068, 0.0522972, 9.9842385, -5.9001844
238.4684359, 89650.7254228, 43172.4285281, 1.9528774, 0.0814848, 9.3760810, -5.5295045
239.4662117, 89649.8197423, 43172.0155369, 2.0496673, 0.1132831, 8.7679235, -4.8029794
240.4639876, 89648.9573540, 43171.4972132, 2.1776435, 0.1269419, 8.2031633, -3.4733564
241.4617635, 89648.1358269, 43170.8496632, 2.2940449, 0.0985057, 7.7692101, -3.2846212
242.4595394, 89647.4322055, 43170.1686555, 2.3838755, 0.0875416, 7.3352569, -1.8361689
243.4573153, 89646.7764353, 43169.4048226, 2.4931173, 0.1595104, 7.0810892, -0.7653288
244.4550912, 89646.2711008, 43168.5837617, 2.7028202, 0.2545628, 6.9724150, -0.7705030
245.4528670, 89645.9830683, 43167.7357432, 2.9235924, 0.2415827, 6.8612675, -0.7703529
246.4506429, 89645.8792132, 43166.7695619, 3.1366826, 0.1893171, 6.7483119, -0.3230526
247.4484188, 89645.9679555, 43165.7106119, -2.9807724, 0.1271327, 6.7003765, 0.5669853
248.4461947, 89646.1774124, 43164.7681828, -2.8669851, 0.1143475, 6.7842828, 0.5740413
249.4439706, 89646.5153479, 43163.7972908, -2.7437313, 0.1292818, 6.8681892, 0.6937216
250.4417464, 89646.9852207, 43162.8739448, -2.5914388, 0.1619277, 6.9682408, 1.4150912
251.4395223, 89647.5810989, 43162.0573592, -2.4328493, 0.1507957, 7.1680031, 1.4550851
252.4372982, 89648.2821803, 43161.3510704, -2.2890932, 0.1378901, 7.3677653, 1.4950790
253.4350741, 89649.0629093, 43160.7545464, -2.1591934, 0.1268521, 7.5675275, 0.5398667
254.4328500, 89649.9103184, 43160.2609997, -2.0387187, 0.1172423, 7.6383771, 0.4737784
255.4306259, 89650.8146856, 43159.8650284, -1.9312163, 0.0994537, 7.7000165, 0.4775863
256.4284017, 89651.7784752, 43159.5524498, -1.8412624, 0.0779357, 7.7616559, -0.0215737
257.4261776, 89652.7294024, 43159.3263706, -1.7658495, 0.0827749, 7.7588821, -0.1781658
258.4239535, 89653.7034144, 43159.1771498, -1.6775476, 0.0963719, 7.7359364, -0.1776381
259.4217294, 89654.7134026, 43159.1208439, -1.5731835, 0.1096463, 7.7129907, 0.2195003
260.4195053, 89655.7514171, 43159.1796352, -1.4546921, 0.1091512, 7.7413339, 1.3326331
261.4172812, 89656.7941024, 43159.3580659, -1.3513930, 0.0894164, 7.9112318, 1.3615627
262.4150570, 89657.7813203, 43159.6251514, -1.2618884, 0.0888418, 8.0811297, 1.3904924
263.4128329, 89658.6531734, 43159.9461210, -1.1702230, 0.1155345, 8.2510276, 2.4786255
264.4106088, 89659.6444553, 43160.4583693, -1.0070180, 0.1719547, 8.5455065, 2.8649125
265.4083847, 89660.3808355, 43161.0112816, -0.8510941, 0.1372361, 8.8737119, 3.3093856
266.4061606, 89660.9919853, 43161.5990161, -0.7538505, 0.1421768, 9.2383339, 3.6349721
267.4039364, 89661.6500576, 43162.3946829, -0.6440984, 0.0602263, 9.6229200, 3.5047637
268.4017123, 89662.1909766, 43163.1500821, -0.6007127, 0.0433521, 9.9797057, 3.5911100
269.3994882, 89662.7455370, 43164.0001602, -0.5541948, 0.0501859, 10.3325104, 3.7158587
270.3972641, 89663.2835424, 43164.9307140, -0.4904326, 0.0715238, 10.6853152, -3.7430919
271.3950400, 89663.7815511, 43165.9520288, -0.4273550, 0.0245991, 10.3298803, -5.0644938
272.3928159, 89664.2094304, 43166.8889224, -0.4469560, -0.0810725, 9.8285282, -5.1707131
